Country,Happiness score
Norway,7.498
Finland,7.413
Germany,6.994
Belgium,6.929
United Kingdom,6.725
France,6.478
Spain,6.361
Italy,5.977
Poland,5.835
Lithuania,5.813
Slovenia,5.768
Latvia,5.56
Estonia,5.517
Bulgaria,4.217
